train_loss,val_loss,val_accuracy,precision,recall,F1,ROC-AUC,PR-AUC
0.459,0.786,1.105,0.621,0.419,0.407,0.668,0.647
0.457,0.814,1.100,0.615,0.418,0.390,0.669,0.652
0.458,0.768,1.121,0.653,0.398,0.402,0.669,0.656
0.454,0.813,1.107,0.640,0.424,0.389,0.677,0.660
0.454,0.752,1.148,0.641,0.397,0.423,0.664,0.650
0.454,0.828,1.105,0.621,0.435,0.410,0.675,0.657
0.454,0.790,1.136,0.630,0.420,0.415,0.675,0.656
0.452,0.836,1.099,0.652,0.438,0.376,0.693,0.679
0.455,0.763,1.142,0.629,0.414,0.413,0.678,0.659
0.453,0.755,1.149,0.640,0.414,0.426,0.674,0.656
